Class_code,Species,Type_of_cost_merged,pred_cost_mean
Mammal,Procyon lotor,Damage,5.628236365
Mammal,Procyon lotor,Damage,5.628236365
Mammal,Procyon lotor,Management,0.02390984
Mammal,Procyon lotor,Management,0.02390984
Mammal,Procyon lotor,Management,0.02390984
Mammal,Procyon lotor,Management,0.02390984
Mammal,Procyon lotor,Management,0.02390984
Mammal,Procyon lotor,Management,0.02390984
Mammal,Procyon lotor,Management,0.02390984
terrinv,Prostephanus truncatus,Management,0.099139012
terrinv,Prostephanus truncatus,Management,0.117480518
terrinv,Prostephanus truncatus,Management,0.150983047
Fish,Pseudorasbora parva,Management,0.411395147
Fish,Pseudorasbora parva,Management,0.411395147
Bird,Psittacula krameri,Damage,53.92793792
Bird,Psittacula krameri,Damage,53.33025162
Bird,Psittacula krameri,Management,0.324765092
terrinv,Raoiella indica,Management,2.156574363
Mammal,Rattus exulans,Management,2.509903577
Mammal,Rattus norvegicus,Management,1.043049942
Mammal,Rattus norvegicus,Management,3.151900878
Mammal,Rattus norvegicus,Management,70.57097679
Mammal,Rattus norvegicus,Mixed,11.31813006
Mammal,Rattus rattus,Damage,5.27191868
Mammal,Rattus rattus,Damage,72775.63475
Amphibian,Rhinella marina,Management,11.79999546
Amphibian,Rhinella marina,Management,11.79999546
Amphibian,Rhinella marina,Management,11.79999546
Amphibian,Rhinella marina,Management,11.79999546
terrinv,Rhipicephalus microplus,Damage,14762.71988
terrinv,Rhynchophorus ferrugineus,Management,10.68207125
terrinv,Scirtothrips perseae,Damage,69.58615696
terrinv,Scirtothrips perseae,Mixed,74.36483597
Mammal,Sciurus carolinensis,Management,5.11648188
Mammal,Sciurus carolinensis,Management,5.11648188
Mammal,Sciurus carolinensis,Management,3.501496267
Mammal,Sciurus carolinensis,Damage,9.524244093
Mammal,Sciurus carolinensis,Damage,9.524244093
Mammal,Sciurus carolinensis,Damage,9.255463018
terrinv,Sirex noctilio,Management,195.5069873
terrinv,Sirex noctilio,Management,7.281600185
terrinv,Solenopsis invicta,Management,30.31184714
terrinv,Solenopsis invicta,Management,30.31184714
terrinv,Solenopsis invicta,Management,30.31184714
terrinv,Solenopsis invicta,Management,30.31184714
terrinv,Solenopsis invicta,Management,30.31184714
terrinv,Solenopsis invicta,Management,30.31184714
terrinv,Solenopsis invicta,Management,30.31184714
terrinv,Solenopsis invicta,Management,30.31184714
terrinv,Solenopsis invicta,Management,27.84949032
terrinv,Solenopsis invicta,Management,50.57118569
terrinv,Solenopsis invicta,Management,50.57118569
terrinv,Solenopsis invicta,Management,50.57118569
terrinv,Solenopsis invicta,Management,50.57118569
terrinv,Solenopsis invicta,Management,50.57118569
terrinv,Solenopsis invicta,Management,50.57118569
terrinv,Solenopsis invicta,Management,50.57118569
terrinv,Solenopsis invicta,Management,50.57118569
terrinv,Solenopsis invicta,Management,50.57118569
terrinv,Solenopsis invicta,Management,50.57118569
terrinv,Solenopsis invicta,Management,50.57118569
terrinv,Solenopsis invicta,Management,50.57118569
terrinv,Solenopsis invicta,Management,50.57118569
terrinv,Solenopsis invicta,Management,50.57118569
terrinv,Solenopsis invicta,Management,50.57118569
terrinv,Solenopsis invicta,Management,50.57118569
terrinv,Solenopsis invicta,Management,50.57118569
terrinv,Spodoptera frugiperda,Damage,1207.609998
